# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
1.530862212181091309e+00,-7.080575078725814819e-02,2.197565585374832153e-01,1.670427620410919189e-02,1.625772863626480103e-01,5.384107232093811035e-01,1.407905578613281250e+00,1.472024917602539062e-01,6.997752469033002853e-03,-2.439160831272602081e-02,2.924535274505615234e-01
1.508631348609924316e+00,-6.100880354642868042e-02,-7.040426880121231079e-02,4.319863021373748779e-02,3.549261391162872314e-02,2.802001833915710449e-01,7.580108642578125000e-01,-5.296673998236656189e-02,-1.212814822793006897e-02,6.507076323032379150e-02,2.692852020263671875e-01
1.541545391082763672e+00,-2.677047848701477051e-01,1.084896549582481384e-01,-3.640182316303253174e-02,1.521108895540237427e-01,3.764966726303100586e-01,8.386644721031188965e-01,2.525658309459686279e-01,-8.779256790876388550e-02,-1.615993231534957886e-01,2.561806440353393555e-01
1.420906066894531250e+00,-5.381461232900619507e-03,1.327741891145706177e-01,2.464601397514343262e-02,1.058162003755569458e-01,5.429827570915222168e-01,1.421235084533691406e+00,2.430042475461959839e-01,1.890911348164081573e-02,-4.609130322933197021e-02,2.860355377197265625e-01
1.595916628837585449e+00,-3.060632050037384033e-01,-7.264055311679840088e-02,-4.932667315006256104e-02,-1.532316207885742188e-03,3.808123767375946045e-01,1.153539419174194336e+00,2.470706999301910400e-01,-3.044735826551914215e-02,-5.778162553906440735e-02,2.844769656658172607e-01
1.495195388793945312e+00,5.665443092584609985e-02,-2.833168767392635345e-02,1.158248335123062134e-01,5.386982858180999756e-02,4.811703264713287354e-01,2.114649772644042969e+00,-2.942205220460891724e-02,-3.780567320063710213e-03,2.777441218495368958e-02,3.818393647670745850e-01
1.573972105979919434e+00,-1.534669846296310425e-01,-2.471098862588405609e-02,2.193593978881835938e-02,6.428636610507965088e-02,3.959454894065856934e-01,1.083510875701904297e+00,7.718599587678909302e-02,2.168072015047073364e-01,-1.100570484995841980e-01,2.683523297309875488e-01
1.501024365425109863e+00,-1.953517049551010132e-01,2.207960486412048340e-01,7.551982998847961426e-03,1.566098481416702271e-01,6.123593449592590332e-01,1.440901517868041992e+00,-5.056947469711303711e-02,-4.244763404130935669e-03,-7.757971435785293579e-02,2.606714069843292236e-01
1.489634156227111816e+00,-1.945778429508209229e-01,3.305328488349914551e-01,-2.997483313083648682e-02,1.795420795679092407e-01,3.810065686702728271e-01,8.655771017074584961e-01,2.017415463924407959e-01,-2.040325552225112915e-01,-5.506114289164543152e-02,3.281522393226623535e-01
1.425575494766235352e+00,-2.233213484287261963e-01,-1.144642606377601624e-01,-7.601088285446166992e-02,-3.459903597831726074e-02,3.994207680225372314e-01,1.349958181381225586e+00,6.267692148685455322e-02,2.105113714933395386e-01,1.560761220753192902e-02,3.223522007465362549e-01
1.489909529685974121e+00,-1.514133512973785400e-01,-1.768887937068939209e-01,6.480067968368530273e-03,-4.023914039134979248e-02,3.259811401367187500e-01,8.359416127204895020e-01,3.564752340316772461e-01,-1.952798292040824890e-02,7.340721786022186279e-02,3.270754814147949219e-01
1.500719666481018066e+00,5.186850205063819885e-02,1.632388867437839508e-02,1.102932840585708618e-01,7.022108137607574463e-02,4.312077462673187256e-01,1.376783847808837891e+00,2.574276924133300781e-01,1.069672331213951111e-01,-3.832164034247398376e-02,2.424037158489227295e-01
1.539388298988342285e+00,-1.503446102142333984e-01,-1.405582576990127563e-01,-2.037376165390014648e-03,-2.662241458892822266e-04,3.699339628219604492e-01,1.081458449363708496e+00,3.817054629325866699e-01,3.098903298377990723e-01,1.468355767428874969e-02,2.538985610008239746e-01
1.517897248268127441e+00,5.930669233202934265e-02,-1.570835709571838379e-01,1.487549990415573120e-01,-1.499369740486145020e-02,3.866305351257324219e-01,1.360199451446533203e+00,-3.292544782161712646e-01,1.157321333885192871e-01,1.722064916975796223e-03,4.045712053775787354e-01
1.504666209220886230e+00,8.991883695125579834e-02,1.817666143178939819e-01,1.240873783826828003e-01,1.155460029840469360e-01,7.043368220329284668e-01,1.994392156600952148e+00,-6.127184256911277771e-02,-1.285298615694046021e-01,-3.454361483454704285e-02,3.404867649078369141e-01
1.474209666252136230e+00,2.315124263986945152e-03,1.056193709373474121e-01,1.036008149385452271e-01,8.492837846279144287e-02,3.501448631286621094e-01,1.595460176467895508e+00,-1.829211562871932983e-01,-6.337621062994003296e-02,-5.619891360402107239e-02,2.898566126823425293e-01
1.550275087356567383e+00,-1.469855159521102905e-01,7.721226662397384644e-02,7.642671465873718262e-03,1.257418543100357056e-01,6.835241913795471191e-01,2.039638757705688477e+00,2.261847108602523804e-01,1.293648332357406616e-01,-1.161307916045188904e-01,2.530077099800109863e-01
1.556933760643005371e+00,5.171368271112442017e-02,1.986510008573532104e-01,1.096098572015762329e-01,1.440681964159011841e-01,4.756241440773010254e-01,2.270280122756958008e+00,-1.389598995447158813e-01,1.849726191721856594e-03,-6.505840271711349487e-02,3.030919432640075684e-01
1.406904339790344238e+00,-1.011813757941126823e-03,1.355364918708801270e-01,6.670571863651275635e-02,1.358713060617446899e-01,2.850394546985626221e-01,1.146504402160644531e+00,1.060189530253410339e-01,-1.106656342744827271e-01,-5.736561492085456848e-02,3.421705961227416992e-01
1.527987599372863770e+00,-5.332135781645774841e-02,-2.022498697042465210e-01,3.700575232505798340e-02,-5.084456503391265869e-02,2.438897192478179932e-01,3.090202212333679199e-01,1.912334188818931580e-02,2.330152839422225952e-01,1.073365360498428345e-01,3.212054669857025146e-01
1.542238831520080566e+00,-2.828478813171386719e-01,3.561057383194565773e-03,-1.179158687591552734e-02,3.723594546318054199e-02,4.911820590496063232e-01,1.736225128173828125e+00,-2.336101606488227844e-03,2.557942867279052734e-01,-1.370948087424039841e-02,3.065517544746398926e-01
1.509481191635131836e+00,-3.281066194176673889e-02,1.134989783167839050e-01,7.457356154918670654e-02,1.188140064477920532e-01,6.599202156066894531e-01,1.913250207901000977e+00,-3.316716849803924561e-02,1.489374637603759766e-01,-6.068481132388114929e-02,2.323765456676483154e-01
