lens_id,thetaE_lens_truth,e1_lens_truth,e2_lens_truth,phi_lens_truth,q_lens_truth,re_src_truth,q_src_truth,magnitude_src_truth,phi_src_truth,thetaE_lens_16,thetaE_lens_50,thetaE_lens_84,e1_lens_16,e1_lens_50,e1_lens_84,e2_lens_16,e2_lens_50,e2_lens_84,phi_lens_16,phi_lens_50,phi_lens_84,q_lens_16,q_lens_50,q_lens_84,re_src_16,re_src_50,re_src_84,q_src_16,q_src_50,q_src_84,magnitude_src_16,magnitude_src_50,magnitude_src_84,phi_src_16,phi_src_50,phi_src_84
827,0.507734043671239,-0.0844472199678421,-7.382610522910227e-09,90.0,0.8442575690053602,0.1843351896938093,0.6653610993958669,22.8864,146.09119157151943,0.5045978624363114,0.507988945768025,0.5108831529457253,-0.0903847760311305,-0.07918603837419207,-0.06855096801553101,-0.015564319038491268,-0.002379057535723528,0.010284558904657487,86.08010754088144,90.85153198242188,95.96072473606009,0.8342078178653144,0.852950930595398,0.871209566429012,0.17130801966179635,0.18333275097112614,0.194577705623183,0.6254664134233218,0.6597550511360168,0.6972553892180334,22.82364005108213,22.89309310913086,22.975509386158773,140.8287617169831,144.95709228515625,148.1917483740286
828,0.8521287555876218,-0.059467289596796036,-5.198795616223606e-09,90.0,0.8877411504639072,0.44772224076174943,0.3258324108864651,22.4513,0.7142360579620988,0.8380878930125789,0.8563044012544594,0.8715040853489409,-0.10878177114158713,-0.08129305344061773,-0.051870888564727734,-0.016000557136038193,0.002156369068302995,0.02048764518029257,83.25243344066229,89.23381042480469,96.55188269799308,0.8028389971188572,0.8487780094146729,0.9004747196447266,0.4099926172462087,0.44502375494937396,0.49211429838088633,0.2889498526200818,0.3163793683052063,0.3426124841265726,22.312609392227216,22.448400497436523,22.561306127467642,0.025607750864553518,0.9554334878921509,179.963485428826
829,0.6585575587747078,-0.16138166189193726,-1.4108432644377444e-08,90.0,0.7220867669147474,0.07759242682185974,0.7518531942786368,22.6638,96.35644805744444,0.6571010637135442,0.6598830132420395,0.6625950996264922,-0.17059100596631346,-0.16473762689746713,-0.15980875930075136,-0.013287118077336664,-0.0028638472472815634,0.004906523253912981,89.1468379852782,90.49512481689453,92.29071796938508,0.7085110706841632,0.7170063257217407,0.7244054373426047,0.07387362343071527,0.07583235286225672,0.07815023171723604,0.7282696691749624,0.7546863555908203,0.7845724496991514,22.625188924591612,22.67062759399414,22.714464882867105,94.1023848535751,97.38632202148438,101.70484313657605
830,0.6870979817111668,-0.07267867773771286,-6.3537717309714026e-09,90.0,0.8644912361110622,0.38721693634356324,0.5640519710679173,21.8686,93.49566821212375,0.6821157291887674,0.6898288407530238,0.6967268079279694,-0.09283370376243003,-0.07273331883982362,-0.04515048816393577,-0.025145494833121368,-0.008219053895683693,0.011736517129611284,85.24886868908212,93.21971893310547,100.27868042305045,0.8295859773601103,0.8628597855567932,0.9135254670902213,0.3601919170599898,0.38525017077494184,0.4112975565364176,0.5463578035302835,0.5763739347457886,0.6084661432499983,21.81538530222848,21.90329360961914,21.997147210408098,92.20265998677515,95.15016174316406,97.44836827785292
831,1.0595469446007855,-0.23535358905792236,-2.0575264159106155e-08,90.0,0.6189696673055824,0.1877332553175531,0.6928313544103792,22.7516,48.34346111336695,1.0560583631605776,1.0591419196903042,1.062462033395016,-0.24219806543142033,-0.23682742806724177,-0.2316491434226468,-0.005843877265800972,-0.0012246321066673859,0.004242246527999491,89.48572912372498,90.14796447753906,90.70173255947205,0.6100327310067014,0.6170202493667603,0.6237972780135778,0.17837641232795806,0.18363477429182068,0.19036893101607996,0.6709583973579433,0.6902514100074768,0.7165963070197038,22.733004118029715,22.769031524658203,22.807827569022024,45.50007317299343,47.94329071044922,50.88638877729636
832,0.895000788777795,-0.47617459297180176,-4.162850331113077e-08,90.0,0.35485327892249097,0.14459365628897286,0.8213657103328492,22.9586,55.25546772480948,0.8935740959529643,0.896585314052653,0.8991536161987302,-0.48838264734233167,-0.4790371507946217,-0.47033116628177035,-0.009833274532870596,-0.0026822376350415433,0.0044928255106833894,89.73063549787055,90.16024780273438,90.58424189930032,0.3437358672888102,0.35221707820892334,0.36023020333817524,0.14056726834744832,0.14539367227768343,0.15118941509793835,0.7883402976007873,0.8142843246459961,0.8479044374978298,22.926150261724178,22.961074829101562,23.00241264918556,46.329009701140016,53.322174072265625,61.73735973336251
833,0.5150969224643276,-0.16450469195842743,-1.4381456914236423e-08,90.0,0.7174683873100516,0.15314502485925593,0.6031507917621872,22.2345,15.400725215097104,0.5074873169608812,0.5126466581483238,0.5179011984340737,-0.19042553000073284,-0.16811421341474414,-0.15076272010029018,-0.02323932917506462,-0.0007219056400778534,0.018669020062819716,86.89412726168607,90.11953735351562,93.9069994101261,0.6793868171409614,0.7119066715240479,0.7379736665507317,0.14853151055816358,0.1526454725538586,0.1564682343607818,0.5885268886476515,0.610896110534668,0.638821639892617,22.17185979653031,22.21548843383789,22.271593826152237,12.392183841762165,15.043697357177734,18.160549778081602
834,0.6039584013674268,-0.12488426268100739,-1.0917728943127258e-08,90.0,0.7779606942237073,0.20591997276071392,0.9519829103253334,21.9451,92.88325848666054,0.6021824803261256,0.6071014091717759,0.6144636662430875,-0.1516583888991942,-0.13289552781582487,-0.11928541410585956,-0.009567611096206196,0.007039194058531872,0.02386631918115125,85.01459812813398,88.4875717163086,92.11149386255428,0.7347865802627869,0.764426589012146,0.786366368322878,0.19305082799797174,0.2001274624349022,0.20590499671754967,0.9175508258649809,0.9512358903884888,0.9819285198121155,21.92789077758789,21.971561431884766,22.027206772637815,62.530029296875,89.81346893310547,109.13856451007142
835,1.029925264011697,-0.20476292073726654,-1.7900942950177523e-08,90.0,0.6600776544259324,0.1467787974959765,0.6145563097339131,21.9451,159.91669452819613,1.0240547197174121,1.0317186277162467,1.0378103325097197,-0.21649133846605492,-0.20432731462031445,-0.1908029143056549,-0.011560005875398169,0.0008701771998674366,0.01799661570405171,87.57587855475346,89.87297058105469,91.69506902669606,0.6438967802822542,0.6605463027954102,0.679493143034266,0.14120251366749415,0.14493462347605193,0.14839895296459113,0.5872389655994922,0.6076110601425171,0.6288543740677918,21.903044327965496,21.941730499267578,21.97531100878923,158.40081071687797,160.18234252929688,162.30558305405756
836,0.6830714789710105,-0.5020071268081665,-4.3886856815333886e-08,90.0,0.331551628770845,0.43571276239498735,0.7025576293029935,21.566,120.81561596110392,0.6769291632797323,0.6829875280797443,0.6893249852174238,-0.5306121752845213,-0.49991901594515836,-0.4802229844161208,-0.022988965795379235,-0.003975295327565971,0.016143063253890092,89.0582186346282,90.22786712646484,91.29517244902772,0.3066651523113251,0.3333355188369751,0.35111826427751525,0.40760832387456347,0.42535197888336695,0.4410584479948079,0.6464086990798201,0.676520586013794,0.7034558224760186,21.547439323127456,21.596908569335938,21.646855489221217,117.66431525466808,120.76083374023438,123.61102623962338
