# theta_E,e1_mass,e2_mass,gamma1,gamma2,e1_src,e2_src,center_x_src,center_y_src,e1_lens,e2_lens,center_x_lens,center_y_lens
1.521256446838378906e+00,1.880334317684173584e-01,3.290816843509674072e-01,-1.292610466480255127e-01,1.529394239187240601e-01,3.350215554237365723e-01,2.629494667053222656e-01,5.076827406883239746e-01,2.303498089313507080e-01,-2.637613415718078613e-01,1.217981278896331787e-01,-1.199308410286903381e-01,-2.837492525577545166e-01
9.324755668640136719e-01,-1.411428749561309814e-01,2.337383106350898743e-02,8.203788101673126221e-02,-1.497891098260879517e-01,-2.243512719869613647e-01,-7.349096983671188354e-02,2.846153080463409424e-01,-9.803869128227233887e-01,6.657569855451583862e-02,-4.422369301319122314e-01,-3.782123327255249023e-03,-9.389503300189971924e-02
2.786606788635253906e+00,1.834896653890609741e-01,-3.071135580539703369e-01,1.470794826745986938e-01,-5.659796297550201416e-02,-5.862911045551300049e-02,-2.432537525892257690e-01,-7.782166600227355957e-01,2.644549012184143066e-01,-6.308652758598327637e-01,-1.130859628319740295e-01,1.628503352403640747e-01,3.076452948153018951e-02
2.754647970199584961e+00,-2.293168008327484131e-01,4.141316413879394531e-01,6.254653632640838623e-02,1.306672543287277222e-01,2.162011712789535522e-01,2.848397195339202881e-01,-8.168284893035888672e-01,-5.835030674934387207e-01,-5.229511260986328125e-01,-3.702502250671386719e-01,6.370744085870683193e-04,1.222402900457382202e-01
6.094484329223632812e-01,-4.250847101211547852e-01,-1.011833101511001587e-01,7.206201553344726562e-03,-6.618174910545349121e-02,-1.625314503908157349e-01,-1.698064431548118591e-02,2.181723564863204956e-01,-5.222738981246948242e-01,-5.448938012123107910e-01,-1.539992839097976685e-01,2.066347561776638031e-02,2.086220383644104004e-01
6.225152611732482910e-01,-1.564346998929977417e-01,-1.547725200653076172e-01,1.879493147134780884e-01,-6.717082858085632324e-02,2.925716042518615723e-01,-2.074616849422454834e-01,-3.172605931758880615e-01,5.088090300559997559e-01,6.443006992340087891e-01,-1.588276028633117676e-01,1.507520824670791626e-01,5.718142539262771606e-02
2.040410518646240234e+00,-5.245176553726196289e-01,5.697605609893798828e-01,1.177975386381149292e-01,5.785299837589263916e-02,-3.406398296356201172e-01,2.561709284782409668e-01,-1.028697788715362549e-01,-4.587464034557342529e-01,-2.402818575501441956e-02,2.669135332107543945e-01,1.622099280357360840e-01,-4.787319898605346680e-02
4.888567030429840088e-01,3.204821944236755371e-01,4.233024716377258301e-01,5.279766023159027100e-02,-1.156356483697891235e-01,3.113727867603302002e-01,-9.039127826690673828e-02,-1.060531020164489746e+00,-5.820995569229125977e-01,-1.319126635789871216e-01,5.308188796043395996e-01,5.705216899514198303e-02,6.776717305183410645e-02
1.011030554771423340e+00,-1.277288645505905151e-01,3.816846311092376709e-01,-1.376083344221115112e-01,9.458972513675689697e-02,2.244860380887985229e-01,7.131673395633697510e-03,1.452273607254028320e+00,-6.848290562629699707e-01,3.037602007389068604e-01,-1.523385755717754364e-02,-1.511082947254180908e-01,-1.069318279623985291e-01
1.718270897865295410e+00,-4.510141909122467041e-01,-4.344641864299774170e-01,-1.072674691677093506e-01,8.149607479572296143e-02,-4.508071243762969971e-01,1.670976728200912476e-01,-2.439227253198623657e-01,-1.788630485534667969e-01,-3.416520655155181885e-01,-4.328281879425048828e-01,6.102760136127471924e-02,1.021036729216575623e-01
9.705795645713806152e-01,8.228668570518493652e-02,-4.345940649509429932e-01,1.370046883821487427e-01,1.241217106580734253e-01,-1.344188600778579712e-01,8.871348947286605835e-02,8.894093632698059082e-01,-2.443645745515823364e-01,-2.928472459316253662e-01,-2.953374087810516357e-01,5.694724153727293015e-03,-1.410234421491622925e-01
3.214584290981292725e-01,3.578468784689903259e-02,2.750014960765838623e-01,3.131766617298126221e-02,-1.034951582551002502e-01,-2.922532260417938232e-01,2.273551933467388153e-02,4.130501151084899902e-01,-4.036539793014526367e-01,-4.642003774642944336e-01,-9.431228972971439362e-03,-1.067466363310813904e-01,4.263969138264656067e-03
1.798040270805358887e+00,-4.599445760250091553e-01,-4.586423560976982117e-02,1.219515949487686157e-01,-1.231466531753540039e-01,1.997892409563064575e-01,-1.706585288047790527e-01,-7.974301576614379883e-01,-2.444868683815002441e-01,2.030453532934188843e-01,-6.538265943527221680e-01,-1.770801842212677002e-01,1.162338163703680038e-02
1.307029962539672852e+00,-3.645835518836975098e-01,-1.214642152190208435e-01,1.861588656902313232e-02,-1.690797954797744751e-01,1.535358726978302002e-01,2.600587308406829834e-01,3.854697942733764648e-01,9.439491033554077148e-01,-5.515070557594299316e-01,-1.380161661654710770e-02,-8.214138448238372803e-02,1.660097986459732056e-01
