# theta_E,e1_mass,e2_mass,R_sersic_src,n_sersic_src,e1_src,e2_src,center_x_src,center_y_src,R_sersic_lens,n_sersic_lens,e1_lens,e2_lens
5.053270459175109863e-01,1.288440227508544922e-01,-2.378490269184112549e-01,1.302935719490051270e+00,1.742301702499389648e+00,-1.609826087951660156e-02,3.911105990409851074e-01,7.124240994453430176e-01,-7.081064581871032715e-01,2.313580662012100220e-01,3.663042783737182617e+00,4.967391490936279297e-02,-4.766189455986022949e-01
2.215879917144775391e+00,-3.360035717487335205e-01,1.832637190818786621e-01,1.767479658126831055e+00,8.127279281616210938e-01,9.649586677551269531e-02,-4.147288203239440918e-01,-1.375738233327865601e-01,1.185260176658630371e+00,8.376293182373046875e-01,3.853690862655639648e+00,3.727125376462936401e-02,2.773114442825317383e-01
4.424231946468353271e-01,-2.363646775484085083e-01,1.210615485906600952e-01,1.507871031761169434e+00,2.000945568084716797e+00,-4.817784205079078674e-02,-2.671514451503753662e-01,-7.172036170959472656e-01,-2.952182888984680176e-01,1.276874423027038574e+00,3.839522361755371094e+00,4.630975127220153809e-01,-2.474583387374877930e-01
1.491217017173767090e+00,-4.169614613056182861e-01,-4.991567730903625488e-01,1.294870495796203613e+00,3.410726487636566162e-01,-3.043073117733001709e-01,2.709790468215942383e-01,-6.928452253341674805e-01,2.197206020355224609e-03,1.702138781547546387e-01,4.283087730407714844e+00,-1.651919037103652954e-01,1.447436213493347168e-01
2.265916347503662109e+00,6.770863384008407593e-02,-6.893530488014221191e-02,1.112367153167724609e+00,9.189238548278808594e-01,-8.313835412263870239e-02,-3.583875596523284912e-01,-8.950433731079101562e-01,7.280292510986328125e-01,8.507246375083923340e-01,4.781741142272949219e+00,-1.479606479406356812e-01,-4.141454696655273438e-01
2.022495508193969727e+00,3.075560322031378746e-03,6.019467115402221680e-01,1.532593607902526855e+00,1.091296195983886719e+00,-3.286937475204467773e-01,1.235778927803039551e-01,-4.657040834426879883e-01,-1.282852888107299805e-01,1.047487020492553711e+00,4.449869632720947266e+00,7.940308749675750732e-02,2.318993955850601196e-01
1.590174555778503418e+00,-5.682806484401226044e-03,-2.171131819486618042e-01,5.487505793571472168e-01,1.488185644149780273e+00,-2.615923061966896057e-02,-3.156123459339141846e-01,-5.357536673545837402e-01,2.510574460029602051e-02,1.740400433540344238e+00,3.956366300582885742e+00,-4.322081804275512695e-01,4.300994426012039185e-02
2.517363786697387695e+00,-8.812483549118041992e-01,-2.982591390609741211e-01,1.645462393760681152e+00,5.180219411849975586e-01,2.783342301845550537e-01,2.662808448076248169e-02,-2.075204998254776001e-01,4.468591213226318359e-01,9.922490119934082031e-01,3.449443340301513672e+00,1.787529140710830688e-01,2.872087359428405762e-01
1.726147055625915527e+00,5.743305012583732605e-02,-2.755445539951324463e-01,1.437374949455261230e+00,2.255148887634277344e+00,1.273496150970458984e-01,2.022088766098022461e-01,7.954663634300231934e-01,-5.453957915306091309e-01,2.767325043678283691e-01,4.711956501007080078e+00,-3.063861131668090820e-01,7.618888467550277710e-02
1.901532858610153198e-01,1.317717134952545166e-01,7.428210377693176270e-01,1.569414258003234863e+00,1.408643245697021484e+00,3.615560010075569153e-02,4.433232247829437256e-01,-6.807053089141845703e-01,1.071521520614624023e+00,7.208389639854431152e-01,4.274796009063720703e+00,5.423292517662048340e-01,-6.414876133203506470e-02
