# theta_E,gamma1,gamma2,source_x,source_y
1.153745532035827637e+00,-4.550518095493316650e-02,1.424319297075271606e-01,1.970629692077636719e-01,8.893430233001708984e-03
1.101103782653808594e+00,-1.815429925918579102e-01,-7.804361730813980103e-02,-1.551513820886611938e-01,2.126066684722900391e-01
1.397735714912414551e+00,-4.730039834976196289e-02,7.881082594394683838e-02,1.052152812480926514e-01,1.456194221973419189e-01
1.253491878509521484e+00,-6.963551044464111328e-03,1.019278168678283691e-02,-1.861838847398757935e-01,-6.940126419067382812e-03
1.528439760208129883e+00,-3.636065125465393066e-02,-2.826881408691406250e-02,1.064554154872894287e-01,6.254255771636962891e-02
1.659420371055603027e+00,1.538528054952621460e-01,-9.497676044702529907e-02,1.414498090744018555e-01,-2.887634634971618652e-01
8.988244533538818359e-01,-2.837355434894561768e-02,-1.342713832855224609e-01,1.962377130985260010e-01,-1.904643476009368896e-01
1.169376492500305176e+00,1.323805302381515503e-01,3.584769368171691895e-02,-2.525645494461059570e-01,1.561103761196136475e-01
7.175307869911193848e-01,1.807261556386947632e-01,1.586361080408096313e-01,2.097801566123962402e-01,2.292934060096740723e-01
7.840232849121093750e-01,-6.846110522747039795e-02,-3.031229972839355469e-02,2.533724308013916016e-01,-2.699236273765563965e-01
1.038219213485717773e+00,4.165145754814147949e-02,-6.439122557640075684e-02,8.978268504142761230e-02,3.970083594322204590e-02
1.130008339881896973e+00,1.495547592639923096e-02,7.827021181583404541e-02,-9.537702798843383789e-02,2.908654808998107910e-01
7.444765567779541016e-01,-1.555496454238891602e-01,1.754339486360549927e-01,2.542644739151000977e-01,2.446315884590148926e-01
9.775953888893127441e-01,-1.433441042900085449e-02,-3.147885203361511230e-03,-1.383672058582305908e-01,6.895670294761657715e-02
1.656488895416259766e+00,4.042935371398925781e-02,-8.663558959960937500e-02,2.964828014373779297e-01,-9.877251088619232178e-02
1.240920782089233398e+00,-1.872585266828536987e-01,-2.518215775489807129e-02,1.436295211315155029e-01,2.784006595611572266e-01
8.376032114028930664e-01,-1.833878457546234131e-02,5.191762745380401611e-02,2.239989042282104492e-01,-7.231630384922027588e-02
1.252609014511108398e+00,1.564968675374984741e-01,-7.058306038379669189e-02,2.510547637939453125e-01,1.752373576164245605e-02
7.295780777931213379e-01,1.792175024747848511e-01,-2.334818243980407715e-02,1.569974720478057861e-01,1.879830956459045410e-01
7.439638376235961914e-01,-4.489007592201232910e-02,6.461407244205474854e-02,-2.248779237270355225e-01,8.491188287734985352e-03
1.500459194183349609e+00,-7.283112406730651855e-02,1.208975911140441895e-03,-3.268629312515258789e-02,2.882964015007019043e-01
1.558809518814086914e+00,6.876994669437408447e-02,-2.002716064453125000e-04,-2.247187942266464233e-01,-8.754467964172363281e-02
1.513036489486694336e+00,7.542230188846588135e-02,-8.048709481954574585e-02,-1.439333856105804443e-01,2.625677585601806641e-01
1.349828481674194336e+00,-6.155979633331298828e-02,-1.555601507425308228e-01,-2.880887985229492188e-01,-2.887803316116333008e-02
9.949686527252197266e-01,-4.630219936370849609e-02,1.272662132978439331e-01,2.448469400405883789e-01,-2.146467566490173340e-01
9.574896693229675293e-01,2.826899290084838867e-04,1.154275685548782349e-01,-1.081022769212722778e-01,2.796867489814758301e-01
7.801434993743896484e-01,-3.689837455749511719e-02,-1.965047270059585571e-01,-1.322714984416961670e-01,2.208710312843322754e-01
1.325192213058471680e+00,-1.867013424634933472e-01,-6.092458963394165039e-03,2.456499934196472168e-01,1.959205269813537598e-01
1.366926193237304688e+00,-2.019096910953521729e-02,-1.579252183437347412e-01,2.914288043975830078e-01,-8.781783282756805420e-02
1.372706174850463867e+00,-2.890232205390930176e-02,1.606167405843734741e-01,-2.396312505006790161e-01,-2.774107456207275391e-01
1.086179852485656738e+00,-1.561357080936431885e-01,-1.393675655126571655e-01,2.469316720962524414e-01,-2.803806364536285400e-01
1.788849353790283203e+00,1.224114149808883667e-01,1.786598414182662964e-01,-6.280511617660522461e-03,2.531896233558654785e-01
1.702608346939086914e+00,1.109829097986221313e-01,-6.216117739677429199e-02,-1.871676445007324219e-01,1.898324191570281982e-01
7.516167759895324707e-01,-1.698583364486694336e-03,8.532036840915679932e-02,-1.206374168395996094e-01,-3.930190205574035645e-02
1.322221755981445312e+00,-3.544269502162933350e-02,6.245268881320953369e-02,-1.950040757656097412e-01,-2.599313855171203613e-02
1.525358438491821289e+00,-1.057465970516204834e-01,5.161704123020172119e-02,6.159016489982604980e-02,-2.123556584119796753e-01
1.044621229171752930e+00,-3.530776500701904297e-02,-1.566072106361389160e-01,-5.921398103237152100e-02,2.166692018508911133e-01
1.030250787734985352e+00,-7.631891220808029175e-02,-1.132046282291412354e-01,-2.155303359031677246e-01,2.525478601455688477e-01
8.148191571235656738e-01,-6.755836308002471924e-02,8.326865732669830322e-02,3.170061111450195312e-02,1.184373497962951660e-01
7.498657703399658203e-01,1.226761490106582642e-01,-5.858187377452850342e-02,1.652480363845825195e-01,2.683382630348205566e-01
7.691826224327087402e-01,-2.842661738395690918e-02,-1.254380047321319580e-01,-1.240463107824325562e-01,2.484882473945617676e-01
1.008738398551940918e+00,-1.650632768869400024e-01,2.731208503246307373e-02,-1.794191300868988037e-01,2.013102769851684570e-01
1.307271718978881836e+00,-8.997525274753570557e-02,-3.182519972324371338e-02,-2.057974338531494141e-01,1.097072660923004150e-01
1.003674864768981934e+00,-6.765726208686828613e-02,4.737231135368347168e-02,1.284210979938507080e-01,-6.884969770908355713e-02
