# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
2.786401510238647461e+00,4.781574904918670654e-01,1.437792181968688965e-01,-6.138633191585540771e-02,-1.260758936405181885e-02,2.786260247230529785e-01,1.269278049468994141e+00,1.574430018663406372e-01,2.035864442586898804e-01,2.585098445415496826e-01,-4.757644608616828918e-02
2.462042808532714844e+00,-4.746082797646522522e-02,-2.233071252703666687e-02,1.083560734987258911e-01,-2.566622197628021240e-02,4.549880325794219971e-01,1.875054359436035156e+00,1.287939399480819702e-01,-2.331892997026443481e-01,4.264165163040161133e-01,-1.413731127977371216e-01
1.586250901222229004e+00,-3.250166773796081543e-01,-1.951877325773239136e-01,9.771896898746490479e-02,-1.767257302999496460e-01,1.677460074424743652e+00,4.589072465896606445e-01,6.065558791160583496e-01,5.219789743423461914e-01,-1.414307653903961182e-01,-6.193011403083801270e-01
1.940421462059020996e+00,-2.325417660176753998e-02,1.669034063816070557e-01,-1.510099768638610840e-01,-1.225479543209075928e-01,3.813318312168121338e-01,1.792758464813232422e+00,4.005270078778266907e-02,4.248770177364349365e-01,8.020233511924743652e-01,-3.721867501735687256e-01
2.648398876190185547e+00,-5.004021525382995605e-01,-4.389659762382507324e-01,-1.842360794544219971e-01,-7.921179383993148804e-02,3.589649498462677002e-01,3.075240850448608398e-01,-4.384430050849914551e-01,5.226924270391464233e-02,1.831547915935516357e-01,5.240719392895698547e-02
2.139682054519653320e+00,5.774378776550292969e-01,-1.976846158504486084e-01,-1.071053370833396912e-01,1.759154349565505981e-01,1.537759661674499512e+00,2.150862932205200195e+00,3.570027053356170654e-01,-5.517555475234985352e-01,-1.523659825325012207e+00,4.371242523193359375e-01
1.254452347755432129e+00,-4.227460622787475586e-01,6.112160533666610718e-02,-1.600660085678100586e-01,-9.510119259357452393e-02,2.677026689052581787e-01,1.617886304855346680e+00,8.318705111742019653e-02,1.880573630332946777e-01,4.548224806785583496e-01,-1.092939600348472595e-01
1.796474307775497437e-01,-2.145040035247802734e-01,6.317226588726043701e-02,-7.092979550361633301e-02,-8.126535266637802124e-02,2.417801767587661743e-01,1.111504673957824707e+00,5.305167436599731445e-01,4.791842401027679443e-02,-1.873157620429992676e-01,-9.582294523715972900e-02
2.107911348342895508e+00,-6.732343137264251709e-02,3.671714663505554199e-01,-6.257918477058410645e-02,6.630314886569976807e-02,6.411182135343551636e-02,7.850075960159301758e-01,4.618311226367950439e-01,-1.163326352834701538e-01,-4.280026257038116455e-02,-1.692175716161727905e-01
2.983254194259643555e+00,4.595911204814910889e-01,-1.145787686109542847e-01,-9.337025880813598633e-02,-1.094815805554389954e-01,1.503467440605163574e+00,1.247477531433105469e+00,6.799166202545166016e-01,-3.344775140285491943e-01,2.026593834161758423e-01,1.428557932376861572e-01
2.245066404342651367e+00,-5.154043063521385193e-02,-2.481518685817718506e-01,-1.561985462903976440e-01,1.339050084352493286e-01,9.131966233253479004e-01,1.120281696319580078e+00,-3.825277388095855713e-01,1.084474474191665649e-01,1.163961768150329590e+00,6.514685153961181641e-01
